Name                    | Gender   
------------------------|----------
Infernal                | masculine
Sombrio                 | masculine
Elétrico                | masculine
Apertado                | masculine
Assombroso              | masculine
Sujo                    | masculine
Sinistro                | masculine
Vilanesco               | masculine
Tecnológico             | masculine
Zoológico               | masculine
Luta livre              | masculine
Savana                  | feminine
Indígena                | masculine
Espaço                  | masculine
Colegial                | masculine
Exército                | masculine
Folclore                | masculine
Militar                 | masculine
Tropical                | masculine
Cyberpunk               | masculine
Steampunk               | masculine
Doce                    | masculine
Exótico                 | masculine
Lúdico                  | masculine
Infantil                | masculine
Geleia                  | feminine
Futurista               | masculine
Antropomórfico          | masculine
Musical                 | masculine
Elementais              | masculine
Glamour                 | masculine
Criminal                | masculine
Bonecos                 | masculine
Apertado                | masculine
Natalino                | masculine
Bizarro                 | masculine
Assustador              | masculine
Extraterrestre          | masculine
Totem                   | masculine
Monstros                | masculine
Esqueleto               | masculine
Espíritos               | masculine
Armados                 | masculine
Macabro                 | masculine
Guerra                  | feminine
Marinho                 | masculine
Besouros                | masculine
Voodo                   | masculine
Estátua                 | feminine
Noturno                 | masculine
Zumbi                   | masculine
Alienígena              | masculine
Samurai                 | masculine
Praia                   | feminine
Folclore                | masculine
Tribo                   | feminine
Espectral               | masculine
Ossos                   | masculine
Comida                  | feminine
Fantasia                | feminine
Vilarejo                | masculine
Mexicano                | masculine
Workaholic              | masculine
Florestal               | masculine
Emo                     | masculine
Festa do pijama         | feminine
Casa de boneca          | feminine
Native American         | masculine
Pin-up                  | feminine
Rural                   | masculine
Selva                   | feminine
Papel                   | masculine
Bolha de sabão          | feminine
Nerd                    | masculine
Oriental                | masculine
Caçada ao tesouro       | masculine
Deserto                 | masculine
Venenoso                | masculine
Diversão                | feminine
Estranho                | masculine
Supertição              | feminine
Pesadelo                | masculine
Mistério                | masculine
Brinquedos              | masculine
Viagem                  | feminine
Paintball               | masculine
Primavera               | feminine
Nórdico                 | masculine
Biclioteca das trevas   | feminine
Verão                   | masculine
Unicórnio               | masculine
Acampamento             | masculine
Outono                  | masculine
Inverno                 | masculine
Festa na piscina        | feminine
Halloween               | masculine
Faroeste                | masculine
Mitologia               | feminine
Sapos mágicos           | masculine
Escola de magia         | feminine
Flores                  | feminine
Vegetais                | masculine
Bruxas                  | feminine
